-199.0 -199.0
-199.0 -199.0
-199.0 -199.0
-153.0 -198.69736842105263
-85.0 -193.38666666666666
-85.0 -171.5
-85.0 -161.38255033557047
-85.0 -159.54
-86.0 -159.34228187919464
-85.0 -162.46621621621622
-85.0 -162.42666666666668
-85.0 -156.27152317880794
-86.0 -157.63576158940398
-85.0 -155.97972972972974
-85.0 -153.43333333333334
-85.0 -153.0268456375839
-85.0 -151.80666666666667
-85.0 -148.6418918918919
-85.0 -161.46308724832215
-85.0 -157.09271523178808
-85.0 -158.76158940397352
-85.0 -155.64666666666668
-85.0 -148.29333333333332
-85.0 -149.86577181208054
-85.0 -148.17880794701986
-85.0 -155.76
-85.0 -155.14093959731542
-85.0 -156.53020134228188
-85.0 -150.17218543046357
-85.0 -148.43333333333334
-85.0 -156.74
-85.0 -146.02
-85.0 -150.00666666666666
-85.0 -156.59060402684563
-85.0 -149.7718120805369
-85.0 -156.41610738255034
-85.0 -148.70666666666668
-85.0 -141.90604026845637
-85.0 -145.13422818791946
-86.0 -152.7
-85.0 -153.95302013422818
-85.0 -146.74496644295303
-85.0 -146.74496644295303
-85.0 -157.36666666666667
-85.0 -154.85135135135135
-85.0 -149.29530201342283
-86.0 -151.40540540540542
-85.0 -140.5771812080537
-85.0 -145.1476510067114
-85.0 -142.41610738255034
